QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:08:37, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
16400, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
16411, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16420, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16431, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16440, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16450, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16460, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16471, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16480, 0.00350624, 0, 1, 0, 0, 0.00298024, 0.00298024, 0, 0, 0, 0, 0
16490, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16500, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16510, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16520, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16530, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16540, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16550, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
16561, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16570, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16580, 0.00350624, 0, 1, 0, 0, 0.00596047, 0, 0, 0, 0, 0, 0
16590, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16601, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16610, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16620, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16630, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16641, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16650, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
16660, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16670, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16680, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
16690, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16700, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16710, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16720, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16731, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16740, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16750, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
16760, 0.00350624, 0, 1, 0, 0, -0.00298024, 0.00298024, 0, 0, 0, 0, 0
