QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:55:42, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
2037060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
