QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:25:59, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
253140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
253990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254081, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254100, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254110, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254120, 0.0631124, 6.30072, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254131, 0.192843, 12.9801, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254140, 0.35413, 16.1322, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254150, 0.529442, 17.5242, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254160, 0.711767, 18.2395, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254171, 0.897598, 18.5585, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254180, 1.08343, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254190, 1.27277, 18.6111, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254200, 1.4621, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254211, 1.65144, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254220, 1.84078, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254230, 2.03011, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254240, 2.21945, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254251, 2.40879, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254260, 2.59813, 19.2458, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254270, 2.78746, 18.6111, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254280, 2.9768, 19.2598, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254290, 3.16614, 18.6041, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254301, 3.35547, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254310, 3.54481, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254320, 3.73415, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254330, 3.92348, 19.2598, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254341, 4.11633, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254350, 4.30567, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254360, 4.495, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254370, 4.68434, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254381, 4.87368, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254390, 5.06301, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254400, 5.25235, 19.2913, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254410, 5.44169, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254420, 5.63102, 18.5726, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254431, 5.82036, 19.2738, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254440, 6.0097, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254450, 6.19904, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254460, 6.39188, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254471, 6.58122, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254480, 6.77055, 18.9547, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254490, 6.95989, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254500, 7.14923, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254511, 7.33856, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254520, 7.5279, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254530, 7.71724, 19.2668, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254540, 7.90658, 18.6111, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254551, 8.09591, 19.2528, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254560, 8.28525, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254570, 8.47809, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254580, 8.66743, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
254590, 8.85677, 18.9337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254601, 9.0461, 18.9407, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254610, 9.16532, 12.2894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254620, 9.2144, 4.55811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254630, 9.23193, 1.74961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254641, 9.23895, 0.701248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254650, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254660, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254670, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254681, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254690, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254700, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254710, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254721, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254730, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254740, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254750, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254760, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254770, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254780, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254790, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254800, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254811, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254820, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254830, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254840, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254851, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254860, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254870, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254880, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254891, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254900, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254910, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254920, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254930, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254940, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254950, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254960, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254970, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254981, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254990, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255000, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255010, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255021, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255030, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255040, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255050, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255060, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255070, 9.23895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
255080, 9.23895, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255090, 9.23895, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255100, 9.30206, 6.31124, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255111, 9.43179, 12.945, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255120, 9.59308, 16.1322, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255130, 9.76839, 17.5382, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255140, 9.95071, 18.2325, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255151, 10.1365, 18.6041, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255160, 10.3259, 18.9021, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255170, 10.5117, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255180, 10.701, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255191, 10.8904, 18.6041, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255200, 11.0797, 19.2528, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255210, 11.2691, 18.9618, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255220, 11.4584, 18.9092, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255230, 11.6477, 18.5831, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255241, 11.8371, 19.2668, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255250, 12.0264, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255260, 12.2157, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255270, 12.4086, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255281, 12.5979, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255290, 12.7873, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255300, 12.9766, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255310, 13.1659, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255321, 13.3553, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255330, 13.5446, 18.9021, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255340, 13.7339, 19.2913, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255350, 13.9233, 18.5901, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255361, 14.1126, 19.2843, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255370, 14.3055, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255380, 14.4948, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255390, 14.6841, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255400, 14.8735, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255411, 15.0628, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
255420, 15.2522, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
