QGPIORecord, QRC v6.1.0, 10-11-2021 @ 13:54:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
161380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
