QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:50:18, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1712990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1713370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
