QGPIORecord, QRC v6.1.0, 18-11-2021 @ 01:09:36, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
641340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
641720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
