QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:53:57, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1932010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
