QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:06:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
418620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
