QGPIORecord, QRC v6.1.0, 18-11-2021 @ 14:42:58, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
561721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
561990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
562550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
