QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
526130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
