QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:51:24, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
576200, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576211, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576230, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576280, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576330, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576350, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576431, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576440, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576460, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576500, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576540, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576550, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576610, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576650, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576690, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
576700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576750, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576760, 0, 0, 0, 0, 0, 0.00298024, 0.00298024, 0, 0, 0, 0, 0
576771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576860, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576910, 0, 0, 0, 0, 0, 0.00596047, -0.00596047, 0, 0, 0, 0, 0
576920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576970, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
576980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577020, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577071, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577170, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577180, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
