QGPIORecord, QRC v6.1.0, 22-11-2021 @ 10:56:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, rA, VoltageState, PositionB, VelocitiyB, CurrentA, CurrentB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
165070, 0, 0, 1, 0, 0, 0.00894071, 0.0268221, 0, 0, 0, 0, 0
165082, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
165090, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165100, 0, 0, 1, 0, 0, 0.00298024, -0.00894071, 0, 0, 0, 0, 0
165110, 0, 0, 1, 0, 0, 0.00298024, -0.00894071, 0, 0, 0, 0, 0
165121, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
165130, 0, 0, 1, 0, 0, 0.0238419, 0.0149012, 0, 0, 0, 0, 0
165140, 0, 0, 1, 0, 0, -0.00894071, 0.0357628, 0, 0, 0, 0, 0
165150, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165160, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
165171, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
165180, 0, 0, 1, 0, 0, -0.00894071, 0.0476838, 0, 0, 0, 0, 0
165190, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165200, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
165211, 0, 0, 1, 0, 0, 0, -0.00894071, 0, 0, 0, 0, 0
165220, 0, 0, 1, 0, 0, 0.0476838, 0, 0, 0, 0, 0, 0
165230, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
165240, 0, 0, 1, 0, 0, -0.0119209, 0.0387431, 0, 0, 0, 0, 0
165251, 0, 0, 1, 0, 0, 0.00894071, 0.0298024, 0, 0, 0, 0, 0
165260, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
165270, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165280, 0, 0, 1, 0, 0, 0.00894071, -0.00298024, 0, 0, 0, 0, 0
165291, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
165300, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
165310, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
165320, 0, 0, 1, 0, 0, 0.050664, -0.00596047, 0, 0, 0, 0, 0
165330, 0, 0, 1, 0, 0, -0.00298024, -0.00596047, 0, 0, 0, 0, 0
165341, 0, 0, 1, 0, 0, -0.00894071, 0.0387431, 0, 0, 0, 0, 0
165350, 0, 0, 1, 0, 0, 0, -0.00596047, 0, 0, 0, 0, 0
165360, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
165370, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
165381, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165390, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165400, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
165410, 0, 0, 1, 0, 0, -0.00298024, -0.00596047, 0, 0, 0, 0, 0
165421, 0, 0, 1, 0, 0, 0.00894071, -0.00894071, 0, 0, 0, 0, 0
165430, 0, 0, 1, 0, 0, 0.0536442, 0.050664, 0, 0, 0, 0, 0
165440, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
165450, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
165460, 0, 0, 1, 0, 0, 0.00596047, -0.00298024, 0, 0, 0, 0, 0
165470, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165480, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
165490, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
165500, 0, 0, 1, 0, 0, 0.0417233, 0.00298024, 0, 0, 0, 0, 0
165511, 0, 0, 1, 0, 0, -0.00894071, -0.00298024, 0, 0, 0, 0, 0
165520, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
165530, 0, 0, 1, 0, 0, 0.0476838, 0.00596047, 0, 0, 0, 0, 0
165540, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
165551, 0, 0, 1, 0, 0, -0.0149012, -0.0149012, 0, 0, 0, 0, 0
165560, 0, 0, 1, 0, 0, -0.00298024, -0.00596047, 0, 0, 0, 0, 0
165570, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
165580, 0, 0, 1, 0, 0, -0.0119209, -0.0119209, 0, 0, 0, 0, 0
165591, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
165600, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
165610, 0, 0, 1, 0, 0, 0, 0.050664, 0, 0, 0, 0, 0
