QGPIORecord, QRC v6.1.0, 23-11-2021 @ 16:57:56, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
1482631, -0.347118, -0.347118, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482641, -0.350624, -0.347118, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482650, -0.701248, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482660, -0.347118, -0.347118, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482671, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482680, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482690, -0.701248, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482700, -0.347118, -0.347118, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482711, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482720, -0.697742, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482730, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482740, -0.350624, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482750, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482761, -0.697742, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482770, -0.350624, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482780, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482790, -0.697742, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482801, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482810, -0.347118, -0.347118, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482820, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482830, -0.701248, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482841, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482850, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482860, -0.350624, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482870, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482881, -0.697742, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482890, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482900, -0.350624, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482910, -0.697742, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482920, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482931, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482940, -0.701248, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482950, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482960, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482971, -0.347118, -0.347118, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482980, -0.697742, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1482990, -0.350624, -0.701248, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1483000, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1483011, -0.701248, -0.350624, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
1483020, -0.347118, -0.697742, -10, 1.20946, 0.525738, -4.00705, -4.30809, 0, 0, 0, 0, 0
