QGPIORecord, QRC v6.1.0, 04-12-2021 @ 21:54:55, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
213711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
213990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
