QGPIORecord, QRC v6.1.0, 20-12-2021 @ 21:46:05, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, -, -, -, -, -
601950, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
601961, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
601970, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
601980, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
601991, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602000, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602010, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602020, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602031, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602040, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602050, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602060, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602071, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602080, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602090, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602100, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602110, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602121, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602130, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602140, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602150, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602161, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602170, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602180, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602190, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602201, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
602210, 0, 0, 0, 0, 0, 0.281654, 0.2784, 0, 0, 0, 0, 0
