QGPIORecord, QRC v6.1.0, 20-12-2021 @ 21:46:18, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, -, -, -, -, -
614100, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614112, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614120, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614130, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614140, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614151, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614160, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614170, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614180, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614191, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614200, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614210, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614220, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614231, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614240, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614250, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614260, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614270, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614281, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614290, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614300, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614310, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614321, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614330, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614340, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614350, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614361, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614370, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614380, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614390, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614401, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614410, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614420, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614430, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614440, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614451, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614460, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614470, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614480, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614491, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614500, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614510, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614520, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614531, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614540, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614550, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614560, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614571, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614580, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614590, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614600, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614610, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614621, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614630, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614641, 0, 0, 0, 0, 0, -0.540758, -0.230991, 0, 0, 0, 0, 0
614650, 0, 0, 6, 6, 6, -0.460469, -0.141426, 0, 0, 0, 0, 0
614661, 0, 0, 6, 6, 6, -0.299891, 0.0377036, 0, 0, 0, 0, 0
614670, 0, 0, 6, 6, 6, -0.139313, 0.216834, 0, 0, 0, 0, 0
614680, 0, 0, 6, 6, 6, 0.0212653, 0.395964, 0, 0, 0, 0, 0
614690, 0, 0, 6, 6, 6, 0.181843, 0.575094, 0, 0, 0, 0, 0
614701, 0, 0.347118, 6, 6, 5.65288, 0.342421, 0.749042, 0, 0, 0, 0, 0
614710, 0, 0.347118, 6, 6, 5.65288, 0.502999, 0.917809, 0, 0, 0, 0, 0
614720, 0, 0.350624, 6, 6, 5.64938, 0.663577, 1.08652, 0, 0, 0, 0, 0
614730, 0.350624, 0.347118, 6, 5.64938, 5.65288, 0.819463, 1.25524, 0, 0, 0, 0, 0
614740, 0.350624, 1.04837, 6, 5.64938, 4.95163, 0.970658, 1.41354, 0, 0, 0, 0, 0
614751, 0.697742, 0.701248, 6, 5.30226, 5.29875, 1.11721, 1.56655, 0, 0, 0, 0, 0
614760, 0.697742, 1.39899, 6, 5.30226, 4.60101, 1.25911, 1.71433, 0, 0, 0, 0, 0
614770, 1.05187, 1.4025, 6, 4.94813, 4.5975, 1.39628, 1.85164, 0, 0, 0, 0, 0
614780, 1.74961, 1.39899, 6, 4.25039, 4.60101, 1.51937, 1.98895, 0, 0, 0, 0, 0
614791, 1.4025, 2.10024, 6, 4.5975, 3.89976, 1.63776, 2.11584, 0, 0, 0, 0, 0
614800, 2.10024, 2.10024, 6, 3.89976, 3.89976, 1.75147, 2.23227, 0, 0, 0, 0, 0
614810, 2.10374, 2.10374, 6, 3.89626, 3.89626, 1.85579, 2.34865, 0, 0, 0, 0, 0
614820, 2.45437, 2.45437, 6, 3.54563, 3.54563, 1.95538, 2.45974, 0, 0, 0, 0, 0
614831, 2.80499, 2.80499, 6, 3.19501, 3.19501, 2.04558, 2.56036, 0, 0, 0, 0, 0
614841, 2.79798, 3.14861, 6, 3.20202, 2.85139, 2.13118, 2.65061, 0, 0, 0, 0, 0
614850, 3.15912, 3.15912, 6, 2.84088, 2.84088, 2.21204, 2.73559, 0, 0, 0, 0, 0
614860, 3.50624, 3.50624, 6, 2.49376, 2.49376, 2.28343, 2.81522, 0, 0, 0, 0, 0
614871, 3.50624, 3.85687, 6, 2.49376, 2.14313, 2.35017, 2.88444, 0, 0, 0, 0, 0
614881, 3.85336, 3.85336, 6, 2.14664, 2.14664, 2.41226, 2.94847, 0, 0, 0, 0, 0
614890, 4.20749, 4.20398, 6, 1.79251, 1.79602, 2.46497, 3.00733, 0, 0, 0, 0, 0
614900, 3.85687, 4.211, 6, 2.14313, 1.789, 2.51764, 3.06084, 0, 0, 0, 0, 0
614910, 4.20398, 4.55461, 6, 1.79602, 1.44539, 2.57035, 3.10912, 0, 0, 0, 0, 0
614921, 4.20398, 4.5511, 6, 1.79602, 1.4489, 2.61842, 3.15233, 0, 0, 0, 0, 0
614930, 4.91224, 4.56162, 6, 1.08776, 1.43838, 2.65701, 3.19543, 0, 0, 0, 0, 0
614940, 4.55811, 4.91224, 6, 1.44189, 1.08776, 2.69086, 3.23314, 0, 0, 0, 0, 0
614950, 4.90173, 4.90173, 6, 1.09827, 1.09827, 2.72485, 3.26577, 0, 0, 0, 0, 0
614961, 4.90874, 5.25936, 6, 1.09126, 0.740637, 2.75415, 3.29322, 0, 0, 0, 0, 0
614970, 4.90874, 4.90874, 6, 1.09126, 1.09126, 2.78335, 3.32056, 0, 0, 0, 0, 0
614980, 5.25936, 5.25936, 6, 0.740637, 0.740637, 2.80787, 3.34791, 0, 0, 0, 0, 0
614990, 5.25936, 5.25936, 6, 0.740637, 0.740637, 2.82769, 3.37002, 0, 0, 0, 0, 0
615001, 5.25586, 5.60648, 6, 0.744143, 0.393519, 2.84756, 3.38695, 0, 0, 0, 0, 0
615011, 5.60297, 5.25235, 6, 0.397026, 0.74765, 2.86283, 3.40399, 0, 0, 0, 0, 0
615020, 5.26287, 5.61349, 6, 0.737131, 0.386507, 2.878, 3.42092, 0, 0, 0, 0, 0
615030, 5.60648, 5.9571, 6, 0.393519, 0.0428953, 2.89313, 3.42733, 0, 0, 0, 0, 0
615041, 5.60297, 5.60297, 6, 0.397026, 0.397026, 2.90371, 3.43389, 0, 0, 0, 0, 0
615051, 5.25936, 5.60999, 6, 0.740637, 0.390013, 2.91894, 3.44564, 0, 0, 0, 0, 0
615060, 5.61349, 5.61349, 6, 0.386507, 0.386507, 2.93402, 3.45723, 0, 0, 0, 0, 0
615070, 5.60648, 5.60999, 6, 0.393519, 0.390013, 2.94446, 3.46882, 0, 0, 0, 0, 0
615080, 5.60297, 5.9536, 6, 0.397026, 0.0464015, 2.95504, 3.47534, 0, 0, 0, 0, 0
615091, 5.25936, 5.60999, 6, 0.740637, 0.390013, 2.97026, 3.48185, 0, 0, 0, 0, 0
615100, 5.61349, 5.96061, 6, 0.386507, 0.0393887, 2.98534, 3.48826, 0, 0, 0, 0, 0
615110, 5.60648, 5.60999, 6, 0.393519, 0.390013, 2.99578, 3.49467, 0, 0, 0, 0, 0
615120, 5.60999, 5.60999, 6, 0.390013, 0.390013, 3.00627, 3.50632, 0, 0, 0, 0, 0
615131, 5.60648, 5.9571, 6, 0.393519, 0.0428953, 3.01675, 3.51278, 0, 0, 0, 0, 0
615140, 5.60648, 5.9571, 6, 0.393519, 0.0428953, 3.02728, 3.51406, 0, 0, 0, 0, 0
615150, 5.60999, 5.96061, 6, 0.390013, 0.0393887, 3.03777, 3.51529, 0, 0, 0, 0, 0
615160, 5.60999, 6.30773, 6, 0.390013, -0.307729, 3.04821, 3.51128, 0, 0, 0, 0, 0
615171, 5.60999, 6.30773, 6, 0.390013, -0.307729, 3.05864, 3.50209, 0, 0, 0, 0, 0
615181, 5.60648, 5.96061, 6, 0.393519, 0.0393887, 3.06913, 3.49809, 0, 0, 0, 0, 0
615190, 5.96061, 6.31474, 6, 0.0393887, -0.314742, 3.07492, 3.49398, 0, 0, 0, 0, 0
615200, 5.60999, 6.31124, 6, 0.390013, -0.311235, 3.08067, 3.48463, 0, 0, 0, 0, 0
615211, 5.60999, 5.96061, 6, 0.390013, 0.0393887, 3.0911, 3.48058, 0, 0, 0, 0, 0
615221, 5.9536, 6.30422, 6, 0.0464015, -0.304223, 3.09694, 3.47662, 0, 0, 0, 0, 0
615230, 5.60999, 6.30773, 6, 0.390013, -0.307729, 3.10278, 3.46749, 0, 0, 0, 0, 0
615240, 5.96061, 6.31474, 6, 0.0393887, -0.314742, 3.10853, 3.4582, 0, 0, 0, 0, 0
615250, 5.9536, 6.30072, 6, 0.0464015, -0.300716, 3.10968, 3.44901, 0, 0, 0, 0, 0
615261, 5.96412, 5.96412, 6, 0.0358825, 0.0358825, 3.11078, 3.44506, 0, 0, 0, 0, 0
615270, 5.61349, 6.30422, 6, 0.386507, -0.304223, 3.11643, 3.44105, 0, 0, 0, 0, 0
615280, 5.95009, 5.96061, 6, 0.0499077, 0.0393887, 3.12227, 3.4371, 0, 0, 0, 0, 0
615290, 5.96412, 5.96412, 6, 0.0358825, 0.0358825, 3.12342, 3.43822, 0, 0, 0, 0, 0
615301, 5.9571, 6.30773, 6, 0.0428953, -0.307729, 3.12447, 3.43416, 0, 0, 0, 0, 0
615311, 5.60297, 5.9536, 6, 0.397026, 0.0464015, 3.13036, 3.43026, 0, 0, 0, 0, 0
615320, 5.96762, 5.96762, 6, 0.0323763, 0.0323763, 3.13611, 3.43144, 0, 0, 0, 0, 0
615330, 5.95009, 5.9536, 6, 0.0499077, 0.0464015, 3.13721, 3.43261, 0, 0, 0, 0, 0
615341, 5.61349, 5.96412, 6, 0.386507, 0.0358825, 3.14305, 3.43384, 0, 0, 0, 0, 0
615351, 5.60648, 5.9571, 6, 0.393519, 0.0428953, 3.15349, 3.43502, 0, 0, 0, 0, 0
615360, 5.96061, 6.30422, 6, 0.0393887, -0.304223, 3.15928, 3.43112, 0, 0, 0, 0, 0
615370, 5.60999, 5.96762, 6, 0.390013, 0.0323763, 3.16502, 3.42706, 0, 0, 0, 0, 0
