QGPIORecord, QRC v6.1.0, 20-12-2021 @ 21:46:27, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, -, -, -, -, -
623680, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623690, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623702, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623711, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623720, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623730, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623740, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623751, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623760, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623770, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623780, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623791, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623800, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623810, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623820, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623831, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623840, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623850, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623860, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623870, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623881, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623890, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623900, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623910, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623921, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623930, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623940, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623950, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623961, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623970, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623980, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
623990, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624001, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624010, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624020, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624030, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624040, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624051, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624060, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624070, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624080, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624091, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624100, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624110, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624120, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624131, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624140, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624150, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624160, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624171, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624180, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624190, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624200, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624210, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624221, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624230, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624240, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624250, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624261, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624270, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624280, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624290, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624301, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624310, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624320, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624330, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624340, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624351, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624360, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624371, 0, 0, 0, 0, 0, 0.338815, 0.279459, 0, 0, 0, 0, 0
624380, 0, 0, -6, -6, -6, 0.258526, 0.189894, 0, 0, 0, 0, 0
624391, 0, 0, -6, -6, -6, 0.0979476, 0.010764, 0, 0, 0, 0, 0
624400, 0, 0, -6, -6, -6, -0.0626304, -0.168366, 0, 0, 0, 0, 0
624410, 0, 0, -6, -6, -6, -0.223208, -0.347496, 0, 0, 0, 0, 0
624420, 0, 0, -6, -6, -6, -0.383786, -0.526626, 0, 0, 0, 0, 0
624431, 0, 0, -6, -6, -6, -0.544364, -0.705756, 0, 0, 0, 0, 0
624440, 0, -0.347118, -6, -6, -5.65288, -0.704942, -0.879704, 0, 0, 0, 0, 0
624450, -0.350624, -0.697742, -6, -5.64938, -5.30226, -0.860829, -1.04324, 0, 0, 0, 0, 0
624460, -0.701248, -0.701248, -6, -5.29875, -5.29875, -1.00733, -1.20148, 0, 0, 0, 0, 0
624471, -0.697742, -1.04837, -6, -5.30226, -4.95163, -1.14919, -1.3545, 0, 0, 0, 0, 0
624481, -0.701248, -0.701248, -6, -5.29875, -5.29875, -1.29105, -1.50751, 0, 0, 0, 0, 0
624490, -1.4025, -1.39899, -6, -4.5975, -4.60101, -1.42347, -1.65529, 0, 0, 0, 0, 0
624500, -1.4025, -1.75312, -6, -4.5975, -4.24688, -1.54652, -1.78736, 0, 0, 0, 0, 0
624510, -1.75312, -1.75312, -6, -4.24688, -4.24688, -1.66487, -1.91416, 0, 0, 0, 0, 0
624521, -1.74961, -2.45086, -6, -4.25039, -3.54914, -1.77857, -2.03053, 0, 0, 0, 0, 0
624530, -2.45437, -2.10374, -6, -3.54563, -3.89626, -1.88289, -2.14167, 0, 0, 0, 0, 0
624540, -2.45437, -2.80499, -6, -3.54563, -3.19501, -1.97779, -2.24753, 0, 0, 0, 0, 0
624550, -2.80149, -2.80149, -6, -3.19851, -3.19851, -2.06803, -2.34297, 0, 0, 0, 0, 0
624561, -2.80499, -3.15562, -6, -3.19501, -2.84438, -2.15359, -2.43317, 0, 0, 0, 0, 0
624570, -3.15211, -3.15211, -6, -2.84789, -2.84789, -2.23445, -2.51814, 0, 0, 0, 0, 0
624580, -3.15562, -3.85336, -6, -2.84438, -2.14664, -2.31062, -2.5927, 0, 0, 0, 0, 0
624590, -3.85687, -3.50975, -6, -2.14313, -2.49025, -2.37736, -2.66192, 0, 0, 0, 0, 0
624601, -3.84985, -4.19697, -6, -2.15015, -1.80303, -2.43481, -2.726, 0, 0, 0, 0, 0
624611, -3.85687, -3.86037, -6, -2.14313, -2.13963, -2.49226, -2.78486, 0, 0, 0, 0, 0
624620, -4.20398, -4.55811, -6, -1.79602, -1.44189, -2.54498, -2.83832, 0, 0, 0, 0, 0
624630, -4.211, -4.20398, -6, -1.789, -1.79602, -2.59295, -2.88665, 0, 0, 0, 0, 0
624641, -4.5511, -4.90874, -6, -1.4489, -1.09126, -2.63628, -2.92975, 0, 0, 0, 0, 0
624651, -4.90874, -4.55811, -6, -1.09126, -1.44189, -2.67027, -2.96757, 0, 0, 0, 0, 0
624660, -4.56162, -5.24884, -6, -1.43838, -0.751156, -2.70412, -3.0003, 0, 0, 0, 0, 0
624670, -4.90874, -4.91575, -6, -1.09126, -1.08425, -2.73797, -3.0277, 0, 0, 0, 0, 0
624680, -4.55811, -4.91575, -6, -1.44189, -1.08425, -2.77187, -3.06007, 0, 0, 0, 0, 0
624691, -5.25235, -5.25235, -6, -0.74765, -0.74765, -2.80117, -3.08742, 0, 0, 0, 0, 0
624700, -4.90523, -5.24534, -6, -1.09477, -0.754662, -2.82582, -3.10984, 0, 0, 0, 0, 0
624710, -5.26287, -5.27339, -6, -0.737131, -0.726612, -2.85033, -3.13196, 0, 0, 0, 0, 0
624720, -5.25936, -5.25936, -6, -0.740637, -0.740637, -2.87011, -3.15386, 0, 0, 0, 0, 0
624731, -5.60999, -5.60297, -6, -0.390013, -0.397026, -2.88524, -3.17084, 0, 0, 0, 0, 0
