QGPIORecord, QRC v6.1.0, 20-12-2021 @ 21:41:25, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, -, -, -, -, -
320941, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
320952, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
320960, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
320970, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
320980, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
320991, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321000, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321010, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321020, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321031, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321040, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321050, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321060, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321071, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321080, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321090, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321100, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321111, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321120, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321130, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321140, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321150, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321161, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321170, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321180, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321190, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321201, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321210, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321220, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321230, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321241, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321250, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321260, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321270, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321281, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321290, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
321300, 0, 0, 0, 0, 0, 0.676488, 0.680224, 0, 0, 0, 0, 0
