QGPIORecord, QRC v6.1.0, 20-12-2021 @ 21:41:59, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, -, -, -, -, -
355770, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355781, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355790, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355801, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355810, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355820, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355830, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355841, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355850, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355860, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355870, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355880, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355891, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355900, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355910, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355920, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355931, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355940, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355950, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355960, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355971, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
355980, 0, 0, 0, 0, 0, 0.825414, 0.730368, 0, 0, 0, 0, 0
