QGPIORecord, QRC v6.1.0, 20-12-2021 @ 21:41:46, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, -, -, -, -, -
342000, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342010, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342022, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342030, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342040, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342050, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342061, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342070, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342080, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342090, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342100, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342111, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342120, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342130, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342140, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342151, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342160, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342170, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342180, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342191, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342200, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342210, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342220, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342231, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342240, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342250, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342260, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342270, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342281, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342290, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342300, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342310, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342321, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342330, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342340, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342350, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342361, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342370, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342380, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342390, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342401, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342410, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342420, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342430, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342440, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342451, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342460, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342470, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342480, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342491, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342500, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342510, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342520, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342531, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342540, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342550, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342560, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342571, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342580, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342590, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342600, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342610, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342621, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342630, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342640, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342650, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342661, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342670, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342680, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342690, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342701, 0, 0, 0, 0, 0, 0.379303, 0.534296, 0, 0, 0, 0, 0
342710, 0, 0, 6, 6, 6, 0.459592, 0.623861, 0, 0, 0, 0, 0
342720, 0, 0, 6, 6, 6, 0.62017, 0.802991, 0, 0, 0, 0, 0
342730, 0, 0, 6, 6, 6, 0.780748, 0.982121, 0, 0, 0, 0, 0
342740, 0, 0, 6, 6, 6, 0.941326, 1.16125, 0, 0, 0, 0, 0
342751, 0.350624, 0, 6, 5.64938, 6, 1.09721, 1.34038, 0, 0, 0, 0, 0
342760, 0, 0.350624, 6, 6, 5.64938, 1.2531, 1.51428, 0, 0, 0, 0, 0
342770, 0.350624, 0.347118, 6, 5.64938, 5.65288, 1.40898, 1.68299, 0, 0, 0, 0, 0
342780, 0.697742, 0.697742, 6, 5.30226, 5.30226, 1.55553, 1.84652, 0, 0, 0, 0, 0
342791, 0.347118, 1.05187, 6, 5.65288, 4.94813, 1.70213, 1.99954, 0, 0, 0, 0, 0
342800, 1.05187, 1.04837, 6, 4.94813, 4.95163, 1.84399, 2.14732, 0, 0, 0, 0, 0
342810, 1.05187, 1.4025, 6, 4.94813, 4.5975, 1.97641, 2.28986, 0, 0, 0, 0, 0
342820, 1.39899, 1.74961, 6, 4.60101, 4.25039, 2.1042, 2.42194, 0, 0, 0, 0, 0
342831, 1.75312, 1.75312, 6, 4.24688, 4.24688, 2.22259, 2.54878, 0, 0, 0, 0, 0
342841, 1.74961, 2.10024, 6, 4.25039, 3.89976, 2.3363, 2.67039, 0, 0, 0, 0, 0
342850, 2.10374, 2.10374, 6, 3.89626, 3.89626, 2.44531, 2.78676, 0, 0, 0, 0, 0
342860, 2.45086, 2.80499, 6, 3.54914, 3.19501, 2.54495, 2.89262, 0, 0, 0, 0, 0
342871, 2.80149, 2.80149, 6, 3.19851, 3.19851, 2.63524, 2.98806, 0, 0, 0, 0, 0
