QGPIORecord, QRC v6.1.0, 30-11-2021 @ 21:22:17, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
46410, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46420, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46431, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46440, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46450, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46460, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46471, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46480, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46490, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46500, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46511, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46520, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46530, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46540, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46551, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46560, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46570, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46580, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46590, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46600, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46610, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46620, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46630, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46641, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46650, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46660, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46670, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46681, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46690, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46700, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46710, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46721, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46730, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46740, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46750, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46760, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46770, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46780, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46790, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46800, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46811, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46820, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46830, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46840, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46851, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46860, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46870, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46880, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46891, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46900, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46910, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46920, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46930, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46941, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46950, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46960, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46970, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46981, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
46990, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47000, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47010, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47021, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47030, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47040, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47050, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47060, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47070, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47080, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47090, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47100, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47111, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47120, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47130, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47140, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
47151, 0, 0, 0, 0, 0, 0, 0, 0.728416, -0.666984, 0, 0, 0
