QGPIORecord, QRC v6.1.0, 30-11-2021 @ 00:56:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
172750, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172761, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172771, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172780, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172790, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172801, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172810, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172820, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172830, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172840, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172850, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172860, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172870, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172880, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172890, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172900, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172910, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172920, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172931, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172940, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172950, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172960, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172971, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172980, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
172990, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173000, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173010, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173020, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173030, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173040, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173050, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173060, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173070, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
173080, 0, 0, 0, 0, 0, 0.130548, 0.214685, 0.986666, -0.835734, 0, 0, 0
