QGPIORecord, QRC v6.1.0, 28-11-2021 @ 14:00:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
355610, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355620, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355632, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355640, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355650, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355660, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355671, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355681, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355690, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355700, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355710, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355721, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355730, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355740, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355750, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355761, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355770, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355780, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355790, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355801, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355810, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355820, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355830, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355841, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355851, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355860, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355870, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355880, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355891, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355900, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355910, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355920, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355931, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
355940, 0, 0, 0, 0, 0, 0.662291, 0.777948, 0, 0, 0, 0, 0
