QGPIORecord, QRC v6.1.0, 23-11-2021 @ 17:15:39, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
2547161, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547170, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547181, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547190, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547201, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547210, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547220, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547230, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547240, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547250, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547260, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547270, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547280, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547290, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547300, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547310, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547320, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547331, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547340, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547350, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547360, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547371, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547380, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547390, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547400, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547410, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547420, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547430, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547440, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547450, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547461, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547470, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
2547480, 0, 0, -10, 0.168101, -0.182523, -4.09432, -4.45805, 0, 0, 0, 0, 0
