QGPIORecord, QRC v6.1.0, 23-11-2021 @ 17:16:39, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
2606300, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606311, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606320, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606330, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606341, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606350, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606360, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606370, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606381, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606390, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606400, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606410, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606420, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606430, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606440, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606450, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606460, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606470, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606480, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606490, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606500, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606511, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606520, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606530, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606540, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606551, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606560, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606570, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606580, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606590, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606600, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606610, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606620, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606630, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606640, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606650, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606660, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606670, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
2606681, 0, 0, -10, 0.147064, -0.550678, -4.92789, -5.69434, 0, 0, 0, 0, 0
