QGPIORecord, QRC v6.1.0, 23-11-2021 @ 17:13:51, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
2438900, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438910, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438921, -0.697742, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438930, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438940, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438950, -0.697742, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438961, -1.05187, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438970, -1.05187, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438980, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2438990, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439001, -1.05187, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439010, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439020, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439030, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439041, -0.697742, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439050, -0.697742, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439060, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439070, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439080, -1.05187, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439091, -0.697742, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439100, -1.05187, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439110, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439120, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439131, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439140, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439150, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439160, -1.05187, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439171, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439180, -0.697742, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439190, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439200, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439211, -0.697742, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439220, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439230, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439240, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439250, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439261, -1.05187, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439270, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439280, -1.04837, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439290, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439301, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439310, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439320, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439330, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439341, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439350, -0.697742, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439360, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439370, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439380, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439391, -1.05187, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439400, -1.05187, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439410, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439420, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439431, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439440, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439450, -1.04837, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439460, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439471, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439480, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439490, -1.05187, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439500, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439511, -0.701248, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439520, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439530, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439540, -1.05187, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439550, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439561, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439570, -0.701248, -0.350624, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439580, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439590, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439601, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439610, -0.697742, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439620, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439630, -1.05187, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439641, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439650, -1.04837, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439660, -1.04837, -1.04837, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439670, -0.701248, -0.701248, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439681, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439690, -1.05187, -0.697742, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439700, -0.701248, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439710, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
2439720, -1.05187, -1.05187, -10, -0.154473, 0.189138, -4.39922, -4.14815, 0, 0, 0, 0, 0
