QGPIORecord, QRC v6.1.0, 23-11-2021 @ 17:02:27, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
1754600, -1.05187, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754610, -0.697742, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754621, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754631, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754640, -1.05187, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754650, -0.697742, -1.05187, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754660, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754671, -0.697742, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754680, -0.701248, -1.04837, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754690, -1.05187, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754700, -0.697742, -1.05187, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754711, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754720, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754730, -0.697742, -1.04837, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754740, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754750, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754761, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754770, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754780, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754790, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754801, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754810, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754820, -0.701248, -1.05187, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754830, -0.697742, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754841, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754850, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754860, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754870, -0.701248, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754881, -1.05187, -1.05187, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754890, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754900, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754910, -1.05187, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754920, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754931, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754940, -1.05187, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754950, -0.697742, -1.05187, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754960, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754971, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754980, -0.701248, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1754990, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755000, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755011, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755020, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755030, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755040, -1.05187, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755051, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755060, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755070, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755080, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755090, -1.05187, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755101, -0.697742, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755110, -1.05187, -1.05187, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755120, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755130, -0.701248, -0.701248, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755141, -1.05187, -0.697742, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
1755150, -0.697742, -1.04837, 10, 0.196548, -0.161089, 6.07976, 6.01563, 0, 0, 0, 0, 0
