QGPIORecord, QRC v6.1.0, 23-11-2021 @ 17:08:59, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
2146000, -0.350624, -0.350624, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146011, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146021, -0.347118, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146030, -0.701248, -0.350624, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146040, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146051, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146060, -0.697742, -0.347118, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146070, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146080, -0.347118, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146091, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146100, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146110, -0.701248, -0.347118, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146120, -0.697742, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146130, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146141, -0.697742, -0.347118, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146150, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146160, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146170, -0.697742, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146181, -0.697742, -0.350624, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146190, -0.697742, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146200, -0.350624, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146210, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146221, -0.697742, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146230, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146240, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146250, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146260, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146271, -0.697742, -0.347118, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146280, -0.701248, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146290, -0.697742, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146300, -0.350624, -0.701248, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146311, -0.701248, -0.350624, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
2146320, -0.701248, -0.697742, -10, 0.168101, 0.175114, -4.35665, -4.39047, 0, 0, 0, 0, 0
