QGPIORecord, QRC v6.1.0, 23-11-2021 @ 17:08:06, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
2093170, -0.350624, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093181, -0.697742, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093191, -0.350624, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093200, -0.701248, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093210, -0.350624, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093220, -0.701248, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093231, -0.350624, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093240, -0.347118, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093250, -0.701248, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093260, -0.347118, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093271, -0.697742, -0.347118, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093280, -0.350624, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093290, -0.701248, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093300, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093310, -0.350624, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093321, -0.697742, -0.347118, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093330, -0.350624, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093340, -0.347118, -0.347118, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093350, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093361, -0.701248, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093370, -0.350624, -0.347118, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093380, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093390, -0.350624, -0.347118, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093401, -0.697742, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093410, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093420, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093430, -0.350624, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093441, -0.701248, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093450, -0.701248, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093460, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093470, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093480, -0.347118, -0.697742, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093491, -0.701248, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093500, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093510, -0.697742, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093520, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093531, -0.350624, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093540, -0.701248, -0.347118, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093550, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093560, -0.701248, -0.701248, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
2093571, -0.701248, -0.350624, 10, 0.189535, 0.189535, 6.03217, 6.33645, 0, 0, 0, 0, 0
