QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
66630, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66641, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66650, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66660, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66670, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66680, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66691, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66700, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66710, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66720, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66731, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66740, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66750, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66760, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66770, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66780, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66790, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66800, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66810, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66820, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66830, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66840, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66850, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66861, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66870, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66880, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66890, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66900, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66910, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66920, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66930, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66940, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66950, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66960, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66970, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66980, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66990, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67000, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67010, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67020, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67031, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67040, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67050, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67060, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67070, 0.204442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67080, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67090, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67100, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67110, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67120, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67130, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67140, 0.215637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67150, 0.215637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67161, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67170, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67180, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67190, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67201, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67210, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67220, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67230, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67240, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67250, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67260, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67270, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67280, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67290, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67300, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67310, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
