QGPIORecord, QRC v6.1.0, 08-12-2021 @ 15:08:06, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, xA, xB, vA, vB, Front Distance, xhat(0), Phat(0), nu(0), S(0)
37710, 0.211065, 0.412249, -0.0371575, 13.4079, 13.0117, 0, 0, 0.149308, -0.149876, 2.62568e-08, -0.000785008, 1.31456e-07
37721, 0.210337, 0.411437, -0.0172511, 13.4079, 13.0117, 0, 0, 0.150085, -0.149942, 2.62568e-08, 0.000196829, 1.31456e-07
37732, 0.210919, 0.412087, 0.0608101, 13.4079, 13.0117, 0, 0, 0.150871, -0.150203, 2.62568e-08, 0.000923127, 1.31456e-07
37740, 0.212359, 0.413693, 0.0467822, 13.4079, 13.0117, 0, 0, 0.150085, -0.150156, 2.62568e-08, -9.79006e-05, 1.31456e-07
37750, 0.213489, 0.414953, 0.0376135, 13.4079, 13.0117, 0, 0, 0.150085, -0.150125, 2.62568e-08, -5.57005e-05, 1.31456e-07
37761, 0.214415, 0.415987, 0.0316232, 13.4079, 13.0117, 0, 0, 0.150085, -0.150105, 2.62568e-08, -2.81185e-05, 1.31456e-07
37771, 0.211823, 0.413095, -0.22535, 13.4079, 13.0117, 0, 0, 0.147027, -0.149249, 2.62568e-08, -0.00306842, 1.31456e-07
37781, 0.204377, 0.404789, -0.331087, 13.4079, 13.0117, 0, 0, 0.147779, -0.148896, 2.62568e-08, -0.00154345, 1.31456e-07
37790, 0.197145, 0.396721, -0.209355, 13.4079, 13.0117, 0, 0, 0.150085, -0.149302, 2.62568e-08, 0.00108106, 1.31456e-07
37800, 0.192606, 0.391658, -0.129797, 13.4079, 13.0117, 0, 0, 0.150085, -0.149567, 2.62568e-08, 0.000714853, 1.31456e-07
37811, 0.190699, 0.389531, -0.012745, 13.4079, 13.0117, 0, 0, 0.150871, -0.149958, 2.62568e-08, 0.0012617, 1.31456e-07
37821, 0.190511, 0.389321, -0.00129193, 13.4079, 13.0117, 0, 0, 0.150085, -0.149996, 2.62568e-08, 0.000123382, 1.31456e-07
37830, 0.190577, 0.389394, 0.00619143, 13.4079, 13.0117, 0, 0, 0.150085, -0.150021, 2.62568e-08, 8.89301e-05, 1.31456e-07
37840, 0.190808, 0.389652, 0.011082, 13.4079, 13.0117, 0, 0, 0.150085, -0.150037, 2.62568e-08, 6.64145e-05, 1.31456e-07
37851, 0.191147, 0.390031, 0.0142783, 13.4079, 13.0117, 0, 0, 0.150085, -0.150048, 2.62568e-08, 5.1707e-05, 1.31456e-07
37861, 0.189845, 0.388579, -0.111562, 13.4079, 13.0117, 0, 0, 0.148539, -0.149628, 2.62568e-08, -0.00150406, 1.31456e-07
37870, 0.187471, 0.38593, -0.0658795, 13.4079, 13.0117, 0, 0, 0.150085, -0.14978, 2.62568e-08, 0.00042066, 1.31456e-07
37880, 0.186978, 0.38538, 0.0290304, 13.4079, 13.0117, 0, 0, 0.150871, -0.150097, 2.62568e-08, 0.00106941, 1.31456e-07
37891, 0.188585, 0.387172, 0.091061, 13.4079, 13.0117, 0, 0, 0.150871, -0.150304, 2.62568e-08, 0.00078389, 1.31456e-07
37901, 0.190694, 0.389525, 0.0665545, 13.4079, 13.0117, 0, 0, 0.150085, -0.150222, 2.62568e-08, -0.000188902, 1.31456e-07
37910, 0.192261, 0.391273, 0.0505328, 13.4079, 13.0117, 0, 0, 0.150085, -0.150168, 2.62568e-08, -0.000115171, 1.31456e-07
37920, 0.193473, 0.392625, 0.0400633, 13.4079, 13.0117, 0, 0, 0.150085, -0.150134, 2.62568e-08, -6.69807e-05, 1.31456e-07
37931, 0.194454, 0.393719, 0.0332192, 13.4079, 13.0117, 0, 0, 0.150085, -0.150111, 2.62568e-08, -3.54797e-05, 1.31456e-07
37941, 0.195283, 0.394644, 0.0287443, 13.4079, 13.0117, 0, 0, 0.150085, -0.150096, 2.62568e-08, -1.48863e-05, 1.31456e-07
37951, 0.196013, 0.395459, 0.0258252, 13.4079, 13.0117, 0, 0, 0.150085, -0.150086, 2.62568e-08, -1.43051e-06, 1.31456e-07
37960, 0.196679, 0.396201, 0.0239164, 13.4079, 13.0117, 0, 0, 0.150085, -0.15008, 2.62568e-08, 7.34627e-06, 1.31456e-07
37970, 0.197302, 0.396897, 0.0226647, 13.4079, 13.0117, 0, 0, 0.150085, -0.150076, 2.62568e-08, 1.30981e-05, 1.31456e-07
37981, 0.197898, 0.397561, 0.0218511, 13.4079, 13.0117, 0, 0, 0.150085, -0.150073, 2.62568e-08, 1.68532e-05, 1.31456e-07
37991, 0.198475, 0.398206, 0.0213146, 13.4079, 13.0117, 0, 0, 0.150085, -0.150071, 2.62568e-08, 1.93119e-05, 1.31456e-07
38000, 0.199041, 0.398837, 0.0209659, 13.4079, 13.0117, 0, 0, 0.150085, -0.15007, 2.62568e-08, 2.09212e-05, 1.31456e-07
38010, 0.198739, 0.398499, -0.0435814, 13.4079, 13.0117, 0, 0, 0.149308, -0.149855, 2.62568e-08, -0.000755429, 1.31456e-07
38021, 0.197868, 0.397528, -0.0214443, 13.4079, 13.0117, 0, 0, 0.150085, -0.149929, 2.62568e-08, 0.000216141, 1.31456e-07
38031, 0.197488, 0.397104, -0.00697821, 13.4079, 13.0117, 0, 0, 0.150085, -0.149977, 2.62568e-08, 0.000149548, 1.31456e-07
38040, 0.198298, 0.398008, 0.0675246, 13.4079, 13.0117, 0, 0, 0.150871, -0.150225, 2.62568e-08, 0.000892222, 1.31456e-07
38050, 0.199887, 0.39978, 0.0511676, 13.4079, 13.0117, 0, 0, 0.150085, -0.150171, 2.62568e-08, -0.000118092, 1.31456e-07
38061, 0.201983, 0.402119, 0.105532, 13.4079, 13.0117, 0, 0, 0.150871, -0.150352, 2.62568e-08, 0.000717297, 1.31456e-07
38071, 0.205283, 0.4058, 0.141062, 13.4079, 13.0117, 0, 0, 0.150871, -0.15047, 2.62568e-08, 0.000553757, 1.31456e-07
38080, 0.208499, 0.409387, 0.0992328, 13.4079, 13.0117, 0, 0, 0.150085, -0.150331, 2.62568e-08, -0.000339314, 1.31456e-07
38090, 0.210789, 0.411941, 0.0718921, 13.4079, 13.0117, 0, 0, 0.150085, -0.15024, 2.62568e-08, -0.000213489, 1.31456e-07
38100, 0.212474, 0.413821, 0.0540242, 13.4079, 13.0117, 0, 0, 0.150085, -0.15018, 2.62568e-08, -0.000131235, 1.31456e-07
38111, 0.214634, 0.416231, 0.1074, 13.4079, 13.0117, 0, 0, 0.150871, -0.150358, 2.62568e-08, 0.000708699, 1.31456e-07
38121, 0.215392, 0.417077, -0.0506982, 13.4079, 13.0117, 0, 0, 0.148539, -0.149831, 2.62568e-08, -0.00178421, 1.31456e-07
38130, 0.214365, 0.415931, -0.0260979, 13.4079, 13.0117, 0, 0, 0.150085, -0.149913, 2.62568e-08, 0.000237554, 1.31456e-07
38140, 0.213881, 0.415392, -0.0100225, 13.4079, 13.0117, 0, 0, 0.150085, -0.149967, 2.62568e-08, 0.000163555, 1.31456e-07
38151, 0.213754, 0.415249, 0.000487268, 13.4079, 13.0117, 0, 0, 0.150085, -0.150002, 2.62568e-08, 0.000115186, 1.31456e-07
38161, 0.213859, 0.415366, 0.00735372, 13.4079, 13.0117, 0, 0, 0.150085, -0.150025, 2.62568e-08, 8.35806e-05, 1.31456e-07
38170, 0.214116, 0.415653, 0.011842, 13.4079, 13.0117, 0, 0, 0.150085, -0.150039, 2.62568e-08, 6.29127e-05, 1.31456e-07
38180, 0.214472, 0.41605, 0.014779, 13.4079, 13.0117, 0, 0, 0.150085, -0.150049, 2.62568e-08, 4.94123e-05, 1.31456e-07
38191, 0.215764, 0.417491, 0.0817493, 13.4079, 13.0117, 0, 0, 0.150871, -0.150272, 2.62568e-08, 0.000826761, 1.31456e-07
38201, 0.217667, 0.419614, 0.0604659, 13.4079, 13.0117, 0, 0, 0.150085, -0.150202, 2.62568e-08, -0.000160888, 1.31456e-07
38210, 0.219099, 0.421212, 0.0465542, 13.4079, 13.0117, 0, 0, 0.150085, -0.150155, 2.62568e-08, -9.68575e-05, 1.31456e-07
38220, 0.221093, 0.423437, 0.102514, 13.4079, 13.0117, 0, 0, 0.150871, -0.150342, 2.62568e-08, 0.00073117, 1.31456e-07
38231, 0.223456, 0.426072, 0.0740379, 13.4079, 13.0117, 0, 0, 0.150085, -0.150247, 2.62568e-08, -0.000223354, 1.31456e-07
38241, 0.225188, 0.428005, 0.0554278, 13.4079, 13.0117, 0, 0, 0.150085, -0.150185, 2.62568e-08, -0.000137687, 1.31456e-07
38250, 0.226509, 0.429478, 0.043264, 13.4079, 13.0117, 0, 0, 0.150085, -0.150144, 2.62568e-08, -8.17031e-05, 1.31456e-07
38260, 0.227561, 0.430651, 0.0353113, 13.4079, 13.0117, 0, 0, 0.150085, -0.150118, 2.62568e-08, -4.51058e-05, 1.31456e-07
38270, 0.228436, 0.431628, 0.0301167, 13.4079, 13.0117, 0, 0, 0.150085, -0.1501, 2.62568e-08, -2.11895e-05, 1.31456e-07
38281, 0.229197, 0.432476, 0.0267193, 13.4079, 13.0117, 0, 0, 0.150085, -0.150089, 2.62568e-08, -5.55813e-06, 1.31456e-07
38291, 0.229882, 0.433241, 0.0244975, 13.4079, 13.0117, 0, 0, 0.150085, -0.150082, 2.62568e-08, 4.66406e-06, 1.31456e-07
38300, 0.231389, 0.434921, 0.0881016, 13.4079, 13.0117, 0, 0, 0.150871, -0.150294, 2.62568e-08, 0.000797525, 1.31456e-07
38310, 0.233432, 0.437201, 0.0646144, 13.4079, 13.0117, 0, 0, 0.150085, -0.150215, 2.62568e-08, -0.000179991, 1.31456e-07
38321, 0.234956, 0.438901, 0.0492677, 13.4079, 13.0117, 0, 0, 0.150085, -0.150164, 2.62568e-08, -0.000109345, 1.31456e-07
38331, 0.236141, 0.440222, 0.0392362, 13.4079, 13.0117, 0, 0, 0.150085, -0.150131, 2.62568e-08, -6.3166e-05, 1.31456e-07
38340, 0.236242, 0.440336, -0.0316456, 13.4079, 13.0117, 0, 0, 0.149308, -0.149895, 2.62568e-08, -0.000810385, 1.31456e-07
38350, 0.235636, 0.439659, -0.013648, 13.4079, 13.0117, 0, 0, 0.150085, -0.149954, 2.62568e-08, 0.000180244, 1.31456e-07
38361, 0.235428, 0.439428, -0.00188202, 13.4079, 13.0117, 0, 0, 0.150085, -0.149994, 2.62568e-08, 0.000126094, 1.31456e-07
38371, 0.236351, 0.440457, 0.0708595, 13.4079, 13.0117, 0, 0, 0.150871, -0.150236, 2.62568e-08, 0.000876889, 1.31456e-07
38380, 0.238013, 0.442311, 0.0533491, 13.4079, 13.0117, 0, 0, 0.150085, -0.150178, 2.62568e-08, -0.000128135, 1.31456e-07
38390, 0.239288, 0.438499, 0.041905, 13.4079, 13.0152, 0, 0.350624, 0.150085, -0.15014, 2.62568e-08, -7.54446e-05, 1.31456e-07
38401, 0.240309, 0.434405, 0.0344262, 13.4079, 13.0152, 0, 0, 0.150085, -0.150115, 2.62568e-08, -4.10229e-05, 1.31456e-07
38411, 0.241165, 0.43536, 0.0295356, 13.4079, 13.0152, 0, 0, 0.150085, -0.150098, 2.62568e-08, -1.85221e-05, 1.31456e-07
38421, 0.242784, 0.437165, 0.0913918, 13.4079, 13.0152, 0, 0, 0.150871, -0.150305, 2.62568e-08, 0.000782371, 1.31456e-07
38430, 0.2449, 0.439526, 0.0667691, 13.4079, 13.0152, 0, 0, 0.150085, -0.150223, 2.62568e-08, -0.0001899, 1.31456e-07
38440, 0.246472, 0.441279, 0.0506759, 13.4079, 13.0152, 0, 0, 0.150085, -0.150169, 2.62568e-08, -0.000115827, 1.31456e-07
