QGPIORecord, QRC v6.1.0, 11-12-2021 @ 22:12:04, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), xref, nu(0), S(0)
21970, -0.294152, -0.296733, 0.00843741, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150153, -0.15, -7.57426e-05, 1.05469e-06
21982, -0.293933, -0.296489, 0.00793502, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150144, -0.15, -6.56247e-05, 1.05469e-06
21991, -0.293727, -0.296259, 0.00748999, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150136, -0.15, -5.66542e-05, 1.05469e-06
22000, -0.293475, -0.295978, 0.0113059, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150206, -0.15, 0.000737473, 1.05469e-06
22010, -0.293184, -0.295653, 0.0104773, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15019, -0.15, -0.00011684, 1.05469e-06
22021, -0.292913, -0.295351, 0.00974298, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150177, -0.15, -0.000102043, 1.05469e-06
22031, -0.292661, -0.29507, 0.00909306, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150165, -0.15, -8.8945e-05, 1.05469e-06
22040, -0.292426, -0.294807, 0.00851691, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150155, -0.15, -7.7337e-05, 1.05469e-06
22050, -0.292315, -0.294684, -0.000274554, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.149995, -0.15, -0.00161318, 1.05469e-06
22061, -0.292316, -0.294685, 0.000212267, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150004, -0.15, 8.99434e-05, 1.05469e-06
22071, -0.292305, -0.294672, 0.000643358, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150012, -0.15, 8.1256e-05, 1.05469e-06
22081, -0.292226, -0.294584, 0.00523619, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150095, -0.15, 0.000859737, 1.05469e-06
22090, -0.292088, -0.29443, 0.00509769, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150093, -0.15, -8.46386e-06, 1.05469e-06
22100, -0.291953, -0.29428, 0.00497475, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15009, -0.15, -5.99027e-06, 1.05469e-06
22111, -0.291821, -0.294133, 0.00486493, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150088, -0.15, -3.78489e-06, 1.05469e-06
22121, -0.291692, -0.293989, 0.00476822, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150087, -0.15, -1.83284e-06, 1.05469e-06
22130, -0.291566, -0.293848, 0.00468217, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150085, -0.15, -1.04308e-07, 1.05469e-06
22140, -0.291442, -0.293709, 0.00460595, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150084, -0.15, 1.43051e-06, 1.05469e-06
22151, -0.291263, -0.29351, 0.00874966, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150159, -0.15, 0.000788972, 1.05469e-06
22161, -0.291147, -0.29338, -6.88434e-05, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.149999, -0.15, -0.00161734, 1.05469e-06
22170, -0.291142, -0.293375, 0.00039503, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150007, -0.15, 8.62628e-05, 1.05469e-06
22180, -0.29107, -0.293295, 0.00501573, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150091, -0.15, 0.000864178, 1.05469e-06
22191, -0.290937, -0.293147, 0.00490181, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150089, -0.15, -4.52995e-06, 1.05469e-06
22201, -0.290808, -0.293002, 0.00480101, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150087, -0.15, -2.48849e-06, 1.05469e-06
22210, -0.29068, -0.29286, 0.00471167, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150086, -0.15, -6.85453e-07, 1.05469e-06
22220, -0.290555, -0.29272, 0.00463217, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150084, -0.15, 9.08971e-07, 1.05469e-06
22231, -0.290376, -0.29252, 0.00877261, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150159, -0.15, 0.00078851, 1.05469e-06
22241, -0.290148, -0.292266, 0.00823252, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15015, -0.15, -7.1615e-05, 1.05469e-06
22251, -0.289934, -0.292028, 0.00775307, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150141, -0.15, -6.1959e-05, 1.05469e-06
22260, -0.289733, -0.291803, 0.00732854, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150133, -0.15, -5.34058e-05, 1.05469e-06
22270, -0.289541, -0.291589, 0.00695236, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150126, -0.15, -4.58211e-05, 1.05469e-06
22281, -0.28936, -0.291387, 0.00661798, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15012, -0.15, -3.91006e-05, 1.05469e-06
22291, -0.289187, -0.291194, 0.00632212, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150115, -0.15, -3.31402e-05, 1.05469e-06
22300, -0.289021, -0.291009, 0.00605986, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15011, -0.15, -2.78503e-05, 1.05469e-06
22310, -0.288806, -0.290769, 0.010038, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150183, -0.15, 0.000763014, 1.05469e-06
22321, -0.288546, -0.290479, 0.00935368, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.15017, -0.15, -9.42051e-05, 1.05469e-06
22331, -0.288304, -0.290209, 0.00874721, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150159, -0.15, -8.19862e-05, 1.05469e-06
22340, -0.288077, -0.289956, 0.00820957, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150149, -0.15, -7.1153e-05, 1.05469e-06
22350, -0.287864, -0.289718, 0.0077334, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150141, -0.15, -6.15567e-05, 1.05469e-06
22361, -0.287662, -0.289493, 0.00731051, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150133, -0.15, -5.30481e-05, 1.05469e-06
22371, -0.287472, -0.289281, 0.00693679, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150126, -0.15, -4.55081e-05, 1.05469e-06
22380, -0.287234, -0.289016, 0.0108158, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150197, -0.15, 0.000747353, 1.05469e-06
22390, -0.287066, -0.288828, 0.00176288, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.150032, -0.15, -0.00165424, 1.05469e-06
22401, -0.287015, -0.288771, 0.00201859, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150037, -0.15, 5.35548e-05, 1.05469e-06
22411, -0.286902, -0.288645, 0.0064557, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150117, -0.15, 0.00083518, 1.05469e-06
22421, -0.286733, -0.288456, 0.00617787, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150112, -0.15, -3.02345e-05, 1.05469e-06
22430, -0.286571, -0.288275, 0.005932, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150108, -0.15, -2.52724e-05, 1.05469e-06
22440, -0.286415, -0.288102, 0.005714, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150104, -0.15, -2.08914e-05, 1.05469e-06
22451, -0.286265, -0.287934, 0.00552058, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.1501, -0.15, -1.69873e-05, 1.05469e-06
22461, -0.286063, -0.287709, 0.00956021, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150174, -0.15, 0.00077264, 1.05469e-06
22470, -0.285815, -0.287433, 0.00892997, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150162, -0.15, -8.56668e-05, 1.05469e-06
22480, -0.285584, -0.287174, 0.00837184, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150152, -0.15, -7.44164e-05, 1.05469e-06
22491, -0.28531, -0.286869, 0.0120869, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.15022, -0.15, 0.000721738, 1.05469e-06
22501, -0.284999, -0.286522, 0.0111698, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150203, -0.15, -0.000130787, 1.05469e-06
22510, -0.284711, -0.286201, 0.0103568, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150188, -0.15, -0.000114411, 1.05469e-06
22520, -0.284443, -0.285902, 0.00963643, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150175, -0.15, -9.98974e-05, 1.05469e-06
22531, -0.284194, -0.285624, 0.00899799, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150164, -0.15, -8.70377e-05, 1.05469e-06
22541, -0.284071, -0.285487, 0.000151619, 9.2698e-08, -0.0973729, 0, 0, 0.148539, -0.150003, -0.15, -0.00162178, 1.05469e-06
22550, -0.284062, -0.285476, 0.000590086, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150011, -0.15, 8.23289e-05, 1.05469e-06
22560, -0.284041, -0.285453, 0.000978559, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150018, -0.15, 7.45058e-05, 1.05469e-06
22571, -0.283953, -0.285356, 0.0055337, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150101, -0.15, 0.000853747, 1.05469e-06
22581, -0.283808, -0.285193, 0.00536077, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150097, -0.15, -1.37687e-05, 1.05469e-06
22591, -0.283666, -0.285035, 0.00520751, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150095, -0.15, -1.06841e-05, 1.05469e-06
22600, -0.283529, -0.284882, 0.00507146, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150092, -0.15, -7.94232e-06, 1.05469e-06
22610, -0.283338, -0.284669, 0.00916108, 9.2698e-08, -0.0973729, 0, 0, 0.150871, -0.150167, -0.15, 0.000780672, 1.05469e-06
22621, -0.283101, -0.284405, 0.00857674, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150156, -0.15, -7.8544e-05, 1.05469e-06
22631, -0.282878, -0.284156, 0.00805877, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150147, -0.15, -6.81132e-05, 1.05469e-06
22640, -0.282669, -0.283923, 0.007599, 9.2698e-08, -0.0973729, 0, 0, 0.150085, -0.150138, -0.15, -5.88596e-05, 1.05469e-06
