QGPIORecord, QRC v6.1.0, 08-12-2021 @ 12:41:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, xA, xB, vA, vB, Front Distance, xhat(0), Phat(0), nu(0), S(0)
8010, 0, 0, 0, 0, 0, 0, 0, 0.244605, -0.246534, 2.62568e-08, -0.00266418, 1.31456e-07
8022, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.246616, 2.62568e-08, 0.000296086, 1.31456e-07
8031, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.2473, 2.62568e-08, 0.00248268, 1.31456e-07
8040, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247796, 2.62568e-08, 0.00179793, 1.31456e-07
8050, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.24753, 2.62568e-08, -0.000966206, 1.31456e-07
8060, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247962, 2.62568e-08, 0.00156854, 1.31456e-07
8071, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.24765, 2.62568e-08, -0.00113234, 1.31456e-07
8080, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247424, 2.62568e-08, -0.000820026, 1.31456e-07
8090, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.24726, 2.62568e-08, -0.000593856, 1.31456e-07
8100, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247142, 2.62568e-08, -0.000430062, 1.31456e-07
8111, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247681, 2.62568e-08, 0.00195681, 1.31456e-07
8121, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247447, 2.62568e-08, -0.000851154, 1.31456e-07
8130, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247277, 2.62568e-08, -0.000616401, 1.31456e-07
8140, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247153, 2.62568e-08, -0.000446394, 1.31456e-07
8151, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247064, 2.62568e-08, -0.000323281, 1.31456e-07
8161, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247625, 2.62568e-08, 0.00203414, 1.31456e-07
8170, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247406, 2.62568e-08, -0.000795156, 1.31456e-07
8180, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247247, 2.62568e-08, -0.00057584, 1.31456e-07
8190, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247132, 2.62568e-08, -0.000417024, 1.31456e-07
8201, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247049, 2.62568e-08, -0.000302002, 1.31456e-07
8210, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247614, 2.62568e-08, 0.00204955, 1.31456e-07
8220, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248024, 2.62568e-08, 0.00148426, 1.31456e-07
8230, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247694, 2.62568e-08, -0.00119337, 1.31456e-07
8241, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248082, 2.62568e-08, 0.00140403, 1.31456e-07
8250, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247736, 2.62568e-08, -0.00125147, 1.31456e-07
8260, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248112, 2.62568e-08, 0.00136195, 1.31456e-07
8270, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247759, 2.62568e-08, -0.00128195, 1.31456e-07
8281, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247502, 2.62568e-08, -0.000928372, 1.31456e-07
8291, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247943, 2.62568e-08, 0.00159594, 1.31456e-07
8300, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247636, 2.62568e-08, -0.00111249, 1.31456e-07
8310, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248039, 2.62568e-08, 0.00146259, 1.31456e-07
8321, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248331, 2.62568e-08, 0.00105919, 1.31456e-07
8331, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247917, 2.62568e-08, -0.0015012, 1.31456e-07
8340, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248243, 2.62568e-08, 0.0011811, 1.31456e-07
8350, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247853, 2.62568e-08, -0.00141291, 1.31456e-07
8360, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248197, 2.62568e-08, 0.00124504, 1.31456e-07
8371, 0, 0, 0, 0, 0, 0, 0, 0.244605, -0.247206, 2.62568e-08, -0.00359207, 1.31456e-07
8380, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247102, 2.62568e-08, -0.000375882, 1.31456e-07
8390, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247653, 2.62568e-08, 0.00199604, 1.31456e-07
8400, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247426, 2.62568e-08, -0.000822738, 1.31456e-07
8411, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247262, 2.62568e-08, -0.000595823, 1.31456e-07
8420, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247768, 2.62568e-08, 0.00183676, 1.31456e-07
8430, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.24751, 2.62568e-08, -0.000938088, 1.31456e-07
8440, 0, 0, 0, 0, 0, 0, 0, 0.251411, -0.248585, 2.62568e-08, 0.00390118, 1.31456e-07
8451, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.248101, 2.62568e-08, -0.00175534, 1.31456e-07
8461, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247751, 2.62568e-08, -0.0012712, 1.31456e-07
8470, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248122, 2.62568e-08, 0.00134766, 1.31456e-07
8480, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247766, 2.62568e-08, -0.00129229, 1.31456e-07
8491, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248134, 2.62568e-08, 0.00133239, 1.31456e-07
8501, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247774, 2.62568e-08, -0.00130336, 1.31456e-07
8510, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247514, 2.62568e-08, -0.000943884, 1.31456e-07
8520, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247951, 2.62568e-08, 0.00158471, 1.31456e-07
8530, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247642, 2.62568e-08, -0.00112063, 1.31456e-07
8541, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248043, 2.62568e-08, 0.00145671, 1.31456e-07
8550, 0, 0, 0, 0, 0, 0, 0, 0.244605, -0.247095, 2.62568e-08, -0.00343879, 1.31456e-07
8560, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247022, 2.62568e-08, -0.000264868, 1.31456e-07
8570, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247595, 2.62568e-08, 0.00207645, 1.31456e-07
8581, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247384, 2.62568e-08, -0.000764519, 1.31456e-07
8591, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.247857, 2.62568e-08, 0.0017146, 1.31456e-07
8600, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248199, 2.62568e-08, 0.0012417, 1.31456e-07
8610, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247822, 2.62568e-08, -0.00136903, 1.31456e-07
8621, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248174, 2.62568e-08, 0.00127682, 1.31456e-07
8631, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247803, 2.62568e-08, -0.00134359, 1.31456e-07
8640, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.24816, 2.62568e-08, 0.00129524, 1.31456e-07
8650, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248419, 2.62568e-08, 0.000937998, 1.31456e-07
8660, 0, 0, 0, 0, 0, 0, 0, 0.24683, -0.247981, 2.62568e-08, -0.00158897, 1.31456e-07
