QGPIORecord, QRC v6.1.0, 08-12-2021 @ 15:15:41, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, xA, xB, vA, vB, Front Distance, xhat(0), Phat(0), nu(0), S(0)
25351, -0.0481693, -0.064307, -0.00494242, 1.45509, 1.4586, 0, 0, 0.150085, -0.149938, 2.62568e-08, 0.00020273, 1.31456e-07
25362, -0.0480249, -0.0641458, 0.015738, 1.45509, 1.4586, 0, 0, 0.150871, -0.150197, 2.62568e-08, 0.000931397, 1.31456e-07
25370, -0.0474085, -0.0634582, 0.0303245, 1.45509, 1.4586, 0, 0, 0.150871, -0.150379, 2.62568e-08, 0.000679612, 1.31456e-07
25380, -0.0466913, -0.0626583, 0.0232661, 1.45509, 1.4586, 0, 0, 0.150085, -0.150291, 2.62568e-08, -0.000284165, 1.31456e-07
25391, -0.0461353, -0.062038, 0.0182879, 1.45509, 1.4586, 0, 0, 0.150085, -0.150229, 2.62568e-08, -0.00019823, 1.31456e-07
25401, -0.0456928, -0.0615444, 0.014776, 1.45509, 1.4586, 0, 0, 0.150085, -0.150185, 2.62568e-08, -0.000137612, 1.31456e-07
25410, -0.0450984, -0.0608813, 0.0296462, 1.45509, 1.4586, 0, 0, 0.150871, -0.150371, 2.62568e-08, 0.000691324, 1.31456e-07
25420, -0.0443968, -0.0600986, 0.0227869, 1.45509, 1.4586, 0, 0, 0.150085, -0.150285, 2.62568e-08, -0.000275895, 1.31456e-07
25431, -0.0438517, -0.0594905, 0.0179493, 1.45509, 1.4586, 0, 0, 0.150085, -0.150224, 2.62568e-08, -0.000192389, 1.31456e-07
25441, -0.0431848, -0.0587466, 0.0318849, 1.45509, 1.4586, 0, 0, 0.150871, -0.150399, 2.62568e-08, 0.000652686, 1.31456e-07
25450, -0.0424321, -0.0579069, 0.0243676, 1.45509, 1.4586, 0, 0, 0.150085, -0.150305, 2.62568e-08, -0.000303164, 1.31456e-07
25460, -0.0418509, -0.0572586, 0.0190651, 1.45509, 1.4586, 0, 0, 0.150085, -0.150238, 2.62568e-08, -0.000211641, 1.31456e-07
25470, -0.0413907, -0.0567452, 0.0153244, 1.45509, 1.4586, 0, 0, 0.150085, -0.150192, 2.62568e-08, -0.000147074, 1.31456e-07
25481, -0.0410159, -0.0563271, 0.0126863, 1.45509, 1.4586, 0, 0, 0.150085, -0.150159, 2.62568e-08, -0.000101537, 1.31456e-07
25491, -0.0411578, -0.0564854, -0.0232911, 1.45509, 1.4586, 0, 0, 0.148539, -0.149709, 2.62568e-08, -0.00161555, 1.31456e-07
25500, -0.0416642, -0.0570503, -0.0145519, 1.45509, 1.4586, 0, 0, 0.150085, -0.149818, 2.62568e-08, 0.00036861, 1.31456e-07
25510, -0.0419712, -0.0573927, -0.00838876, 1.45509, 1.4586, 0, 0, 0.150085, -0.149895, 2.62568e-08, 0.000262216, 1.31456e-07
25521, -0.0419054, -0.0573193, 0.0133061, 1.45509, 1.4586, 0, 0, 0.150871, -0.150166, 2.62568e-08, 0.000973359, 1.31456e-07
25531, -0.0415766, -0.0569526, 0.0112617, 1.45509, 1.4586, 0, 0, 0.150085, -0.150141, 2.62568e-08, -7.69645e-05, 1.31456e-07
25540, -0.0412945, -0.0566379, 0.00981927, 1.45509, 1.4586, 0, 0, 0.150085, -0.150123, 2.62568e-08, -5.20647e-05, 1.31456e-07
25550, -0.0410453, -0.0563599, 0.00880241, 1.45509, 1.4586, 0, 0, 0.150085, -0.15011, 2.62568e-08, -3.45111e-05, 1.31456e-07
25561, -0.0408193, -0.0561078, 0.00808477, 1.45509, 1.4586, 0, 0, 0.150085, -0.150101, 2.62568e-08, -2.21282e-05, 1.31456e-07
25571, -0.0406097, -0.055874, 0.00757933, 1.45509, 1.4586, 0, 0, 0.150085, -0.150095, 2.62568e-08, -1.33961e-05, 1.31456e-07
25580, -0.0404117, -0.0556531, 0.00722289, 1.45509, 1.4586, 0, 0, 0.150085, -0.15009, 2.62568e-08, -7.24196e-06, 1.31456e-07
25590, -0.0402217, -0.0554412, 0.00697017, 1.45509, 1.4586, 0, 0, 0.150085, -0.150087, 2.62568e-08, -2.89083e-06, 1.31456e-07
25601, -0.0402671, -0.0554918, -0.0103605, 1.45509, 1.4586, 0, 0, 0.149308, -0.14987, 2.62568e-08, -0.000777215, 1.31456e-07
25611, -0.0404784, -0.0557275, -0.00543118, 1.45509, 1.4586, 0, 0, 0.150085, -0.149932, 2.62568e-08, 0.000211179, 1.31456e-07
25621, -0.0405773, -0.0558378, -0.00195503, 1.45509, 1.4586, 0, 0, 0.150085, -0.149976, 2.62568e-08, 0.000151172, 1.31456e-07
25630, -0.0405967, -0.0558595, 0.000498295, 1.45509, 1.4586, 0, 0, 0.150085, -0.150006, 2.62568e-08, 0.000108838, 1.31456e-07
25640, -0.0407898, -0.0560749, -0.014925, 1.45509, 1.4586, 0, 0, 0.149308, -0.149813, 2.62568e-08, -0.000698417, 1.31456e-07
25651, -0.0411053, -0.0564268, -0.00865102, 1.45509, 1.4586, 0, 0, 0.150085, -0.149892, 2.62568e-08, 0.000266746, 1.31456e-07
25661, -0.0412776, -0.056619, -0.00422597, 1.45509, 1.4586, 0, 0, 0.150085, -0.149947, 2.62568e-08, 0.000190362, 1.31456e-07
25670, -0.0411168, -0.0564397, 0.0162423, 1.45509, 1.4586, 0, 0, 0.150871, -0.150203, 2.62568e-08, 0.00092268, 1.31456e-07
25680, -0.040721, -0.0559982, 0.0133336, 1.45509, 1.4586, 0, 0, 0.150085, -0.150167, 2.62568e-08, -0.000112712, 1.31456e-07
25691, -0.0403917, -0.0556307, 0.0112808, 1.45509, 1.4586, 0, 0, 0.150085, -0.150141, 2.62568e-08, -7.72923e-05, 1.31456e-07
25701, -0.039877, -0.0550566, 0.0271809, 1.45509, 1.4586, 0, 0, 0.150871, -0.15034, 2.62568e-08, 0.000733882, 1.31456e-07
25710, -0.0392316, -0.0543367, 0.0210488, 1.45509, 1.4586, 0, 0, 0.150085, -0.150263, 2.62568e-08, -0.000245884, 1.31456e-07
25720, -0.0387261, -0.0537728, 0.0167239, 1.45509, 1.4586, 0, 0, 0.150085, -0.150209, 2.62568e-08, -0.000171229, 1.31456e-07
25731, -0.0383194, -0.0533191, 0.0136721, 1.45509, 1.4586, 0, 0, 0.150085, -0.150171, 2.62568e-08, -0.000118569, 1.31456e-07
25741, -0.0379823, -0.052943, 0.0115204, 1.45509, 1.4586, 0, 0, 0.150085, -0.150144, 2.62568e-08, -8.14199e-05, 1.31456e-07
25750, -0.0379238, -0.0528778, -0.00715017, 1.45509, 1.4586, 0, 0, 0.149308, -0.149911, 2.62568e-08, -0.000832617, 1.31456e-07
25760, -0.0380619, -0.0530318, -0.00316739, 1.45509, 1.4586, 0, 0, 0.150085, -0.14996, 2.62568e-08, 0.000172094, 1.31456e-07
25771, -0.038109, -0.0530844, -0.000357628, 1.45509, 1.4586, 0, 0, 0.150085, -0.149996, 2.62568e-08, 0.000123605, 1.31456e-07
25781, -0.0380921, -0.0530655, 0.00162482, 1.45509, 1.4586, 0, 0, 0.150085, -0.15002, 2.62568e-08, 8.93921e-05, 1.31456e-07
25791, -0.0380299, -0.0529961, 0.00302315, 1.45509, 1.4586, 0, 0, 0.150085, -0.150038, 2.62568e-08, 6.52522e-05, 1.31456e-07
25800, -0.0379358, -0.0528911, 0.00400901, 1.45509, 1.4586, 0, 0, 0.150085, -0.15005, 2.62568e-08, 4.82351e-05, 1.31456e-07
25810, -0.0378192, -0.0527611, 0.004704, 1.45509, 1.4586, 0, 0, 0.150085, -0.150059, 2.62568e-08, 3.62247e-05, 1.31456e-07
25821, -0.0374546, -0.0523544, 0.0225413, 1.45509, 1.4586, 0, 0, 0.150871, -0.150282, 2.62568e-08, 0.000813961, 1.31456e-07
25831, -0.0369151, -0.0517525, 0.0177753, 1.45509, 1.4586, 0, 0, 0.150085, -0.150222, 2.62568e-08, -0.000189394, 1.31456e-07
25840, -0.0364844, -0.051272, 0.0144136, 1.45509, 1.4586, 0, 0, 0.150085, -0.15018, 2.62568e-08, -0.000131369, 1.31456e-07
25850, -0.0358982, -0.0506181, 0.0293911, 1.45509, 1.4586, 0, 0, 0.150871, -0.150367, 2.62568e-08, 0.000695735, 1.31456e-07
25861, -0.0352024, -0.0498419, 0.022608, 1.45509, 1.4586, 0, 0, 0.150085, -0.150283, 2.62568e-08, -0.000272796, 1.31456e-07
