QGPIORecord, QRC v6.1.0, 08-12-2021 @ 11:41:04, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, xA, xB, vA, vB, Front Distance, xhat(0), Phat(0), nu(0), S(0)
44060, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44070, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44082, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44090, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44100, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44110, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44121, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44131, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44140, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44150, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44161, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44171, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44180, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44190, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44200, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44211, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.295637, -0.295637, 9.68575e-08, 0.00639787, 0.1
44220, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, -0.00323528, 0.1
44230, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.302336, -0.302336, 9.68575e-08, 0.00993425, 0.1
44240, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.00346911, 0.1
44251, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.0165659, 0.1
44261, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316256, 0.1
44270, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.0134034, 0.1
44280, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, -0.0134034, 0.1
44291, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44301, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44310, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44320, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.24683, -0.24683, 9.68575e-08, -0.0455714, 0.1
44331, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292401, 9.68575e-08, 0.0455714, 0.1
44341, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 5.96046e-08, 0.1
44350, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.302336, -0.302336, 9.68575e-08, 0.00993425, 0.1
44360, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, -0.00993425, 0.1
44370, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44381, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44390, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44400, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.0134034, 0.1
44410, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.0165659, 0.1
44421, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316256, 0.1
44431, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44440, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44450, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44461, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44471, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44480, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.302336, -0.302336, 9.68575e-08, 0.00993425, 0.1
44490, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.00346911, 0.1
44500, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.0165659, 0.1
44511, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.302336, -0.302336, 9.68575e-08, 0.0130968, 0.1
44520, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.00346911, 0.1
44530, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, -0.0134034, 0.1
44540, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44551, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44560, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44570, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44580, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44591, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44601, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44610, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44620, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44631, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44641, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44650, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44660, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44670, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44681, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.295637, -0.295637, 9.68575e-08, 0.00323528, 0.1
44690, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00639787, 0.1
44700, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44710, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44721, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.286147, -0.286147, 9.68575e-08, -0.00625488, 0.1
44731, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00625488, 0.1
44740, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44750, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44761, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44771, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44780, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.0134034, 0.1
44790, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0, 0.1
44801, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0, 0.1
44811, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.0165659, 0.1
44820, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316256, 0.1
44830, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44840, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44851, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44860, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00316259, 0.1
44870, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44880, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44891, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.0134034, 0.1
44901, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.298947, -0.298947, 9.68575e-08, -0.00685751, 0.1
44910, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00970843, 0.1
44920, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44931, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.295637, -0.295637, 9.68575e-08, 0.00323528, 0.1
44941, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.289239, -0.289239, 9.68575e-08, -0.00639787, 0.1
44950, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0.00316259, 0.1
44960, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
44971, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.295637, -0.295637, 9.68575e-08, 0.00323528, 0.1
44981, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, -0.00323528, 0.1
44990, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
45000, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
45010, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.292402, -0.292402, 9.68575e-08, 0, 0.1
45021, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0.0134034, 0.1
45030, 0, 0, 0, -1.89337, -1.84779, 0, 0, 0.305805, -0.305805, 9.68575e-08, 0, 0.1
