QGPIORecord, QRC v6.1.0, 08-12-2021 @ 11:59:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, xA, xB, vA, vB, Front Distance, xhat(0), Phat(0), nu(0), S(0)
196420, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190522, 5.96353e-08, -0.000275299, 2.54834e-07
196430, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190458, 5.96353e-08, -0.000102848, 2.54834e-07
196442, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.189128, -0.189625, 5.96353e-08, -0.00132971, 2.54834e-07
196451, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190123, 5.96353e-08, 0.000794545, 2.54834e-07
196460, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190309, 5.96353e-08, 0.000296816, 2.54834e-07
196470, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190378, 5.96353e-08, 0.00011088, 2.54834e-07
196481, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.186601, -0.188012, 5.96353e-08, -0.00377747, 2.54834e-07
196491, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.18952, 5.96353e-08, 0.00240774, 2.54834e-07
196500, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190083, 5.96353e-08, 0.000899464, 2.54834e-07
196510, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190294, 5.96353e-08, 0.000336021, 2.54834e-07
196520, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190373, 5.96353e-08, 0.000125527, 2.54834e-07
196531, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190402, 5.96353e-08, 4.6894e-05, 2.54834e-07
196540, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190413, 5.96353e-08, 1.75238e-05, 2.54834e-07
196550, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.189128, -0.189608, 5.96353e-08, -0.00128475, 2.54834e-07
196560, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190116, 5.96353e-08, 0.000811338, 2.54834e-07
196571, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190306, 5.96353e-08, 0.00030309, 2.54834e-07
196581, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19173, -0.191198, 5.96353e-08, 0.00142334, 2.54834e-07
196590, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.19071, 5.96353e-08, -0.000778407, 2.54834e-07
196600, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190528, 5.96353e-08, -0.000290796, 2.54834e-07
196611, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.19046, 5.96353e-08, -0.000108629, 2.54834e-07
196621, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190435, 5.96353e-08, -4.05759e-05, 2.54834e-07
196630, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190425, 5.96353e-08, -1.51545e-05, 2.54834e-07
196640, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.189128, -0.189613, 5.96353e-08, -0.00129695, 2.54834e-07
196651, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190118, 5.96353e-08, 0.000806779, 2.54834e-07
196661, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.187855, -0.188701, 5.96353e-08, -0.00226273, 2.54834e-07
196670, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.189777, 5.96353e-08, 0.00171882, 2.54834e-07
196680, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.19018, 5.96353e-08, 0.000642106, 2.54834e-07
196690, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.19033, 5.96353e-08, 0.000239879, 2.54834e-07
196701, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190386, 5.96353e-08, 8.96156e-05, 2.54834e-07
196710, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190407, 5.96353e-08, 3.34829e-05, 2.54834e-07
196720, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190415, 5.96353e-08, 1.25021e-05, 2.54834e-07
196730, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19173, -0.191238, 5.96353e-08, 0.00131479, 2.54834e-07
196741, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190725, 5.96353e-08, -0.000818953, 2.54834e-07
196751, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190534, 5.96353e-08, -0.000305936, 2.54834e-07
196760, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190462, 5.96353e-08, -0.000114292, 2.54834e-07
196770, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190435, 5.96353e-08, -4.26918e-05, 2.54834e-07
196781, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190425, 5.96353e-08, -1.59442e-05, 2.54834e-07
196791, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190422, 5.96353e-08, -5.96046e-06, 2.54834e-07
196800, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.19042, 5.96353e-08, -2.22027e-06, 2.54834e-07
196810, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19173, -0.191241, 5.96353e-08, 0.00130929, 2.54834e-07
196820, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190726, 5.96353e-08, -0.000821009, 2.54834e-07
196831, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190534, 5.96353e-08, -0.000306711, 2.54834e-07
196840, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190462, 5.96353e-08, -0.000114575, 2.54834e-07
196850, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190435, 5.96353e-08, -4.27961e-05, 2.54834e-07
196860, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190425, 5.96353e-08, -1.59889e-05, 2.54834e-07
196871, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190422, 5.96353e-08, -5.97537e-06, 2.54834e-07
196880, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.187855, -0.188814, 5.96353e-08, -0.00256635, 2.54834e-07
196890, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.18982, 5.96353e-08, 0.00160541, 2.54834e-07
196900, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190195, 5.96353e-08, 0.000599742, 2.54834e-07
196911, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19173, -0.191157, 5.96353e-08, 0.00153418, 2.54834e-07
196921, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19173, -0.191516, 5.96353e-08, 0.000573128, 2.54834e-07
196930, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190829, 5.96353e-08, -0.00109603, 2.54834e-07
196940, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190572, 5.96353e-08, -0.000409439, 2.54834e-07
196951, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190477, 5.96353e-08, -0.00015296, 2.54834e-07
196961, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190441, 5.96353e-08, -5.7146e-05, 2.54834e-07
196970, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190427, 5.96353e-08, -2.13534e-05, 2.54834e-07
196980, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19173, -0.191243, 5.96353e-08, 0.00130215, 2.54834e-07
196990, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190727, 5.96353e-08, -0.000823677, 2.54834e-07
197001, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190534, 5.96353e-08, -0.000307709, 2.54834e-07
197010, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190462, 5.96353e-08, -0.000114948, 2.54834e-07
197020, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.189128, -0.189627, 5.96353e-08, -0.00133424, 2.54834e-07
197030, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.187855, -0.188517, 5.96353e-08, -0.00177126, 2.54834e-07
197041, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.189709, 5.96353e-08, 0.00190243, 2.54834e-07
197050, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.19042, -0.190154, 5.96353e-08, 0.000710696, 2.54834e-07
197060, 0, 0, 0, 12.9591, 13.4184, 0, 0, 0.187855, -0.188714, 5.96353e-08, -0.00229862, 2.54834e-07
