QGPIORecord, QRC v6.1.0, 08-12-2021 @ 12:07:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, xA, xB, vA, vB, Front Distance, xhat(0), Phat(0), nu(0), S(0)
14381, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.231121, 2.62568e-08, -0.00136888, 1.31456e-07
14391, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.231387, 2.62568e-08, 0.000965804, 1.31456e-07
14401, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.23158, 2.62568e-08, 0.000699431, 1.31456e-07
14410, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.23118, 2.62568e-08, -0.00145061, 1.31456e-07
14420, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.23143, 2.62568e-08, 0.000906616, 1.31456e-07
14431, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.231071, 2.62568e-08, -0.00130057, 1.31456e-07
14440, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230811, 2.62568e-08, -0.000941858, 1.31456e-07
14450, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.231163, 2.62568e-08, 0.00127505, 1.31456e-07
14460, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230878, 2.62568e-08, -0.00103375, 1.31456e-07
14471, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.231211, 2.62568e-08, 0.0012085, 1.31456e-07
14480, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230913, 2.62568e-08, -0.00108194, 1.31456e-07
14490, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230697, 2.62568e-08, -0.000783533, 1.31456e-07
14500, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.23108, 2.62568e-08, 0.00138971, 1.31456e-07
14511, 0, 0, 0, 0, 0, 0, 0, 0.238173, -0.233036, 2.62568e-08, 0.00709325, 1.31456e-07
14521, 0, 0, 0, 0, 0, 0, 0, 0.240277, -0.235034, 2.62568e-08, 0.00724095, 1.31456e-07
14530, 0, 0, 0, 0, 0, 0, 0, 0.238173, -0.2359, 2.62568e-08, 0.00313973, 1.31456e-07
14540, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.234308, 2.62568e-08, -0.00577021, 1.31456e-07
14551, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.233695, 2.62568e-08, -0.0022216, 1.31456e-07
14561, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.232712, 2.62568e-08, -0.003566, 1.31456e-07
14570, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.232, 2.62568e-08, -0.00258246, 1.31456e-07
14580, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.231484, 2.62568e-08, -0.00187019, 1.31456e-07
14590, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.23111, 2.62568e-08, -0.00135437, 1.31456e-07
14601, 0, 0, 0, 0, 0, 0, 0, 0.228207, -0.230309, 2.62568e-08, -0.00290361, 1.31456e-07
14610, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.23026, 2.62568e-08, -0.000179976, 1.31456e-07
14620, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.230764, 2.62568e-08, 0.00182679, 1.31456e-07
14630, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.231128, 2.62568e-08, 0.00132294, 1.31456e-07
14641, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230853, 2.62568e-08, -0.000999078, 1.31456e-07
14650, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.231193, 2.62568e-08, 0.00123361, 1.31456e-07
14660, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.2309, 2.62568e-08, -0.00106376, 1.31456e-07
14670, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230687, 2.62568e-08, -0.00077036, 1.31456e-07
14681, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230533, 2.62568e-08, -0.000557885, 1.31456e-07
14691, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230422, 2.62568e-08, -0.000404015, 1.31456e-07
14700, 0, 0, 0, 0, 0, 0, 0, 0.232086, -0.230881, 2.62568e-08, 0.00166455, 1.31456e-07
14710, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230674, 2.62568e-08, -0.000751689, 1.31456e-07
14721, 0, 0, 0, 0, 0, 0, 0, 0.230129, -0.230524, 2.62568e-08, -0.000544369, 1.31456e-07
14731, 0, 0, 0, 0, 0, 0, 0, 0.240277, -0.233214, 2.62568e-08, 0.00975384, 1.31456e-07
