QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:13:13, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), NaN, nu(0), S(0)
15791, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15801, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15810, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15820, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15831, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
15840, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15850, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15860, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15870, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
15880, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15890, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15900, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15910, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
15920, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15930, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15940, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15950, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
15961, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15970, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
15980, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
15990, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16001, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16010, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16020, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
16030, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16040, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16050, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16060, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16070, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16080, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16090, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
16100, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16110, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16120, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16131, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16140, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16150, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16160, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16171, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
16180, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16190, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16200, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16210, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16220, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16230, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16240, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
16250, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16261, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16270, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16280, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16290, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16301, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16310, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16320, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16330, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16340, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16350, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16360, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16370, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16380, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16390, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16400, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16410, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16420, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16431, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16440, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16450, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16460, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16471, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16480, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16490, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16500, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
16510, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16520, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16530, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16540, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16550, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16560, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16570, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16580, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
16590, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16601, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16610, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16620, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16630, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16641, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16650, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
16660, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16670, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
16680, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16690, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16700, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16710, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16720, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16731, 0, 0, 0, 0, 0, 0, 0, 0.305805, 0, 0, 0, 0
16740, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16750, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16760, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16771, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16780, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16791, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16801, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
16811, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16820, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
16830, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16840, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16850, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16860, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
16870, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
