QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:09:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, P, L, vA, vB, y, x, NaN, nu, S
95140, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.359796, -2.43931, 0, 1.83251, 1.10512e-06
95151, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95161, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.350238, -2.43931, 0, 1.83251, 1.10512e-06
95170, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95180, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95191, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95200, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95210, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95220, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.34119, -2.43931, 0, 1.83251, 1.10512e-06
95230, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95240, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95250, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95260, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95270, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95280, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.350238, -2.43931, 0, 1.83251, 1.10512e-06
95290, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95300, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.359796, -2.43931, 0, 1.83251, 1.10512e-06
95310, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.350238, -2.43931, 0, 1.83251, 1.10512e-06
95321, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95330, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.350238, -2.43931, 0, 1.83251, 1.10512e-06
95340, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95350, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95361, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95370, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.345653, -2.43931, 0, 1.83251, 1.10512e-06
95380, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.350238, -2.43931, 0, 1.83251, 1.10512e-06
95390, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95400, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
95410, 0, 0, 0, 1.05125e-07, -0.0951249, 0, 0, 0.354951, -2.43931, 0, 1.83251, 1.10512e-06
