QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:00:30, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, P, L, vA, vB, y, x, NaN, nu, S
5310, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5320, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5331, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5340, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5350, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5360, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5370, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5381, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
5390, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5400, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5410, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5421, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5430, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5440, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5450, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
5460, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5470, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5480, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5490, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5500, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5510, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5520, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5530, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5540, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5551, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
5560, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
5570, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5580, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5591, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5600, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5610, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5620, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5630, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5640, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
5650, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5660, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5670, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5680, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5690, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5700, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5710, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
5721, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5730, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5740, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5750, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5761, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5770, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5780, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5790, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5800, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5810, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5820, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5830, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
5840, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
5850, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
