QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:01:20, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), NaN, nu(0), S(0)
6831, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6841, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
6850, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6860, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
6871, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6880, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6890, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6900, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
6910, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6920, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6930, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6940, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
6950, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6960, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6970, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6980, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
6990, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7001, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7010, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
7020, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7030, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7041, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7050, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7060, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7070, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7080, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7090, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7100, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7110, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7120, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7130, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7140, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7150, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7160, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
7171, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7180, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7190, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7200, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7211, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7220, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7230, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7240, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7250, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7260, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7270, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7280, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7290, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7300, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
7310, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
7320, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
7330, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
