QGPIORecord, QRC v6.1.0, 08-12-2021 @ 17:16:30, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), NaN, nu(0), S(0)
8200, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
8210, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8221, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8230, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8240, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8250, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8260, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8270, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8281, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8290, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8300, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8310, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8321, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8330, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8340, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8350, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8360, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8370, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8380, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8390, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8400, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8410, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8420, 0, 0, 0, 0, 0, 0, 0, 0.345653, 0, 0, 0, 0
8430, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8440, 0, 0, 0, 0, 0, 0, 0, 0.350238, 0, 0, 0, 0
8451, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8460, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8470, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8480, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8491, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8500, 0, 0, 0, 0, 0, 0, 0, 0.359796, 0, 0, 0, 0
8510, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8520, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8530, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8540, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8550, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8560, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
8570, 0, 0, 0, 0, 0, 0, 0, 0.354951, 0, 0, 0, 0
