QGPIORecord, QRC v6.1.0, 08-12-2021 @ 18:31:09, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltA, voltB, desired_velocity, Phat, L, vA, vB, Front Distance, xhat(0), NaN, nu(0), S(0)
314020, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.336844, 0.145905, 0, -0.0358867, 6.50761e-06
314031, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314041, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314050, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314060, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314071, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.336844, 0.145905, 0, -0.0358867, 6.50761e-06
314080, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.336844, 0.145905, 0, -0.0358867, 6.50761e-06
314090, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.336844, 0.145905, 0, -0.0358867, 6.50761e-06
314100, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.350238, 0.145905, 0, -0.0358867, 6.50761e-06
314110, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314120, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.345653, 0.145905, 0, -0.0358867, 6.50761e-06
314130, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314140, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
314150, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.332612, 0.145905, 0, -0.0358867, 6.50761e-06
314160, 0, 0, 0, 5.55562e-06, 0, 0, 0, 0.354951, 0.145905, 0, -0.0358867, 6.50761e-06
