QGPIORecord, QRC v6.1.0, 22-12-2021 @ 14:56:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, trajX, trajY, trajTheta, e1, e2, e3, v, omega, -
556070, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556082, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556090, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556100, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556110, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556121, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556130, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556140, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556150, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556161, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556170, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556180, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556190, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556200, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556210, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556220, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556230, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556240, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556250, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556260, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556270, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556280, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556291, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556300, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556310, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556320, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556331, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556340, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556350, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556360, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556370, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556380, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556390, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556400, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556410, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556421, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556430, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556440, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556450, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556461, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556470, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556480, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556490, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556500, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556510, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556520, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556530, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556540, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556550, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556560, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556570, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556580, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556591, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556600, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556610, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556620, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
556631, -0.131012, -0.352825, -1.7285, -0.149757, -0.349845, -1.5708, -0.0187458, 0.00297958, 0.157704, 7.15721e-06, -0.000283308, 0
