QGPIORecord, QRC v6.1.0, 22-12-2021 @ 15:22:12, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, e1, e2, e3, vff, wff, vfb, wfb, v, w
31832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
