QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:08:07, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, w
148720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
