QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:12:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, w
403710, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403720, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403731, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403740, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403750, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403760, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403770, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403780, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403790, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403801, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403810, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403820, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403830, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403841, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403850, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403860, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403870, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403880, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403890, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403900, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403910, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403920, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403930, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403940, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403950, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403960, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403971, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403980, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
403990, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404000, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404011, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404020, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404030, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404040, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404050, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404060, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404070, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404080, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404090, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404100, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404110, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404120, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404130, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404141, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404150, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404160, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404170, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404180, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404190, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404200, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404210, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
