QGPIORecord, QRC v6.1.0, 16-12-2021 @ 10:07:06, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
23401, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23411, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23422, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23432, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23442, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23451, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23461, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23472, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23482, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23491, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23501, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23512, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23522, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23531, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23541, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23552, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23562, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23572, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23581, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23591, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23602, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23612, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23621, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23631, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23642, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23652, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23661, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23671, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23682, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23692, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23701, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
23711, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
