QGPIORecord, QRC v6.1.0, 16-12-2021 @ 10:24:43, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
17430, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17440, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17452, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17460, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17470, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17480, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17490, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17500, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17510, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17520, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17530, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17540, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17550, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17560, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17570, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17581, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17590, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17600, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17610, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17620, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17630, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17640, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17650, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17660, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17670, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17680, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17690, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17700, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17711, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17720, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17730, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17740, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17751, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17760, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17770, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17780, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17790, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17800, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17810, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17820, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17830, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17840, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17850, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17860, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17870, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17881, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17890, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17900, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17910, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17921, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17930, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17940, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17950, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17960, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17970, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17980, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
17990, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18000, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18010, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18020, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18030, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18040, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18051, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18060, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18070, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18080, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18091, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18100, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18110, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18120, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18130, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18140, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18150, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18160, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18170, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18180, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18190, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18200, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18210, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18221, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18230, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18240, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18250, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18260, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18270, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18280, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18290, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18300, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18310, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18320, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18330, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18340, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18351, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18360, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18370, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18380, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18391, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18400, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18410, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18420, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18430, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18440, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18450, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18461, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18471, -0.3, -0.2, 0, 0.01, 0, 0.01, 0, 0, 0.12, 0, 0, 0
18482, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18491, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18501, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18511, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18522, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18532, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18541, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18551, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18562, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18572, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18581, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18591, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18601, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18612, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18621, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18631, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18641, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18652, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18661, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18671, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18681, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18692, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18702, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18711, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
18721, -0.3, -0.2, 0, 2e-07, 0, 2e-07, 0, 0, 2e-07, 0, 0, 0
