QGPIORecord, QRC v6.1.0, 17-12-2021 @ 17:00:05, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
15410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
