QGPIORecord, QRC v6.1.0, 17-12-2021 @ 17:04:02, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
27680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
