QGPIORecord, QRC v6.1.0, 15-12-2021 @ 22:14:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
65582, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65592, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65603, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65611, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65622, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65632, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65641, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65651, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65661, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65672, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65682, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65691, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65701, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65712, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65722, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65731, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65741, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65752, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65762, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65771, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65781, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65792, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65802, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65811, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65821, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65831, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65842, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65852, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
65861, -0.3, -0.2, 0, 5e-07, 0, 5e-07, 0, 0, 5e-07, 0, 0, 0
