QGPIORecord, QRC v6.1.0, 15-12-2021 @ 15:54:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, FDR, rA, rB, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
575730, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575741, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575750, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575760, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575770, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575780, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575791, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575800, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575810, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575820, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575831, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575840, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575850, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575860, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575870, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575880, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575890, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575900, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575910, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575920, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575930, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575940, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575950, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575961, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575970, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575980, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575990, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576001, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576010, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576020, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576030, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576040, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576050, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576060, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576070, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576080, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576090, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
576100, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
